title,status,request_date,completion_date,details,client_id,artisan_id
Construct outdoor deck,Pending,2025-01-19 23:06:15,2025-02-12 23:06:15,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",5,5
Install new light fixtures,Pending,2025-01-05 03:53:44,2025-01-30 03:53:44,"In this project, we will replace old light fixtures with new, energy-efficient models to enhance the lighting and aesthetic of the space.",6,8
Repair broken laptop,Rejected,2025-01-21 21:20:36,2025-02-16 21:20:36,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",1,1
Repair broken laptop,Rejected,2025-01-07 10:32:05,2025-01-17 10:32:05,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",4,1
Build custom bookshelf,Accepted,2025-01-10 13:09:36,2025-02-08 13:09:36,This project focuses on designing and constructing a custom bookshelf that fits perfectly in your living space and meets your storage needs.,4,3
Tune-up car engine,Completed,2024-12-14 21:47:26,2024-12-25 21:47:26,"This project aims to perform a comprehensive tune-up on your car's engine, ensuring optimal performance and longevity.",10,2
Tune-up car engine,Pending,2025-01-02 12:03:28,2025-01-31 12:03:28,"This project aims to perform a comprehensive tune-up on your car's engine, ensuring optimal performance and longevity.",3,1
Paint living room,Pending,2025-01-02 10:40:37,2025-01-29 10:40:37,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",7,9
Paint living room,Accepted,2025-01-25 10:40:57,2025-02-16 10:40:57,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",4,3
Repair broken laptop,Accepted,2025-01-01 17:23:40,2025-01-29 17:23:40,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",1,2
Build custom bookshelf,Accepted,2024-12-09 17:58:09,2024-12-19 17:58:09,This project focuses on designing and constructing a custom bookshelf that fits perfectly in your living space and meets your storage needs.,8,8
Build custom bookshelf,Accepted,2025-01-11 20:50:44,2025-02-07 20:50:44,This project focuses on designing and constructing a custom bookshelf that fits perfectly in your living space and meets your storage needs.,2,5
Fix leaky faucet,Rejected,2025-01-02 12:54:04,2025-01-23 12:54:04,This project involves identifying the source of the leak and replacing any worn-out washers or seals to ensure the faucet operates properly.,2,6
Deep clean kitchen,Rejected,2025-01-07 16:15:29,2025-02-06 16:15:29,"This project involves a thorough cleaning of the kitchen, including scrubbing surfaces, organizing cabinets, and sanitizing appliances.",6,10
Install new light fixtures,Completed,2024-12-15 16:14:29,2025-01-13 16:14:29,"In this project, we will replace old light fixtures with new, energy-efficient models to enhance the lighting and aesthetic of the space.",6,2
Install new light fixtures,Accepted,2025-01-18 13:23:12,2025-02-12 13:23:12,"In this project, we will replace old light fixtures with new, energy-efficient models to enhance the lighting and aesthetic of the space.",10,5
Fix leaky faucet,Pending,2025-01-20 14:51:33,2025-01-31 14:51:33,This project involves identifying the source of the leak and replacing any worn-out washers or seals to ensure the faucet operates properly.,3,10
Install new light fixtures,Rejected,2025-01-07 09:08:49,2025-01-29 09:08:49,"In this project, we will replace old light fixtures with new, energy-efficient models to enhance the lighting and aesthetic of the space.",8,3
Build custom bookshelf,Pending,2024-12-10 10:22:54,2024-12-31 10:22:54,This project focuses on designing and constructing a custom bookshelf that fits perfectly in your living space and meets your storage needs.,7,9
Repair broken laptop,Rejected,2024-12-10 07:54:58,2024-12-25 07:54:58,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",6,2
Construct outdoor deck,Completed,2025-01-17 02:49:54,2025-02-07 02:49:54,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",5,5
Design new website,Rejected,2024-12-05 22:52:09,2024-12-22 22:52:09,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,7,7
Build custom bookshelf,Accepted,2024-12-17 01:10:45,2025-01-04 01:10:45,This project focuses on designing and constructing a custom bookshelf that fits perfectly in your living space and meets your storage needs.,10,6
Fix leaky faucet,Pending,2025-01-19 23:52:07,2025-02-05 23:52:07,This project involves identifying the source of the leak and replacing any worn-out washers or seals to ensure the faucet operates properly.,10,8
Design new website,Pending,2024-12-01 04:12:07,2024-12-30 04:12:07,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,7,4
Repair broken laptop,Accepted,2025-01-18 21:08:33,2025-02-14 21:08:33,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",6,9
Build custom bookshelf,Rejected,2024-12-21 05:12:59,2025-01-08 05:12:59,This project focuses on designing and constructing a custom bookshelf that fits perfectly in your living space and meets your storage needs.,6,5
Assist with medical check-up,Pending,2025-01-07 16:39:55,2025-02-06 16:39:55,"This project entails providing support during a medical check-up, ensuring all necessary information is gathered and questions are addressed.",3,5
Construct outdoor deck,Pending,2025-01-07 15:43:15,2025-02-02 15:43:15,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",6,8
Install new light fixtures,Completed,2025-01-02 21:29:54,2025-01-27 21:29:54,"In this project, we will replace old light fixtures with new, energy-efficient models to enhance the lighting and aesthetic of the space.",1,9
Install new light fixtures,Pending,2024-12-27 22:46:01,2025-01-08 22:46:01,"In this project, we will replace old light fixtures with new, energy-efficient models to enhance the lighting and aesthetic of the space.",4,3
Construct outdoor deck,Pending,2024-12-07 06:24:44,2024-12-27 06:24:44,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",10,7
Repair broken laptop,Pending,2024-12-20 02:57:00,2025-01-13 02:57:00,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",10,10
Tune-up car engine,Pending,2025-01-16 04:32:45,2025-01-26 04:32:45,"This project aims to perform a comprehensive tune-up on your car's engine, ensuring optimal performance and longevity.",8,9
Paint living room,Accepted,2025-01-08 22:43:53,2025-01-19 22:43:53,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",4,9
Fix leaky faucet,Completed,2024-12-04 16:33:55,2024-12-18 16:33:55,This project involves identifying the source of the leak and replacing any worn-out washers or seals to ensure the faucet operates properly.,10,6
Assist with medical check-up,Accepted,2024-12-03 16:18:45,2024-12-24 16:18:45,"This project entails providing support during a medical check-up, ensuring all necessary information is gathered and questions are addressed.",5,3
Tune-up car engine,Completed,2025-01-22 15:42:05,2025-02-13 15:42:05,"This project aims to perform a comprehensive tune-up on your car's engine, ensuring optimal performance and longevity.",1,2
Construct outdoor deck,Rejected,2024-12-30 17:30:31,2025-01-14 17:30:31,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",3,10
Paint living room,Rejected,2024-12-26 23:31:31,2025-01-16 23:31:31,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",8,9
Assist with medical check-up,Rejected,2024-12-29 18:44:14,2025-01-21 18:44:14,"This project entails providing support during a medical check-up, ensuring all necessary information is gathered and questions are addressed.",10,10
Tune-up car engine,Pending,2025-01-05 10:11:41,2025-01-17 10:11:41,"This project aims to perform a comprehensive tune-up on your car's engine, ensuring optimal performance and longevity.",8,10
Construct outdoor deck,Accepted,2024-12-11 07:56:21,2024-12-30 07:56:21,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",6,3
